sales_rep_id,region,month,product_category,revenue,target,achievement_pct,commission_rate,incentive_payout
NOR23001,North,2025-01,Sports,56950,73918,0.7704483346410888,0.034696555642739255,1975.9688438540006
NOR23001,North,2025-01,Beauty,114346,96538,1.1844662205556362,0.06844662205556362,7826.597445565478
NOR23001,North,2025-01,Clothing,84930,58699,1.446873030204944,0.0946873030204944,8041.79264553059
NOR23001,North,2025-02,Sports,93294,58108,1.6055276381909547,0.11055276381909547,10313.909547738693
NOR23001,North,2025-02,Beauty,76824,64193,1.1967660025236397,0.06967660025236398,5352.835137787611
NOR23001,North,2025-02,Clothing,42241,61124,0.691070610562136,0.02,844.82
NOR23001,North,2025-03,Sports,72075,51351,1.4035753928842671,0.09035753928842671,6512.519644213356
NOR23001,North,2025-03,Beauty,61110,63668,0.9598228309354778,0.04732152206236519,2891.8182132311367
NOR23001,North,2025-03,Clothing,86894,78662,1.1046502758638224,0.06046502758638224,5254.048107091098
NOR23001,North,2025-04,Sports,98152,92054,1.0662437265083538,0.05662437265083538,5557.795424424794
NOR23001,North,2025-04,Beauty,118825,94616,1.255865815506891,0.07558658155068909,8981.57555276063
NOR23001,North,2025-04,Clothing,31055,87198,0.35614348952957636,0.02,621.1
NOR23001,North,2025-05,Sports,83179,94782,0.8775822413538436,0.04183881609025624,3480.110883571424
NOR23001,North,2025-05,Beauty,75345,51657,1.458563215053139,0.0958563215053139,7222.294543817876
NOR23001,North,2025-05,Clothing,53856,57549,0.9358285982380232,0.04572190654920155,2462.3989991137987
NOR23001,North,2025-06,Sports,56040,87318,0.641792070363499,0.02,1120.8
NOR23001,North,2025-06,Beauty,59744,79049,0.755784386899265,0.03371895912661767,2014.505494060646
NOR23001,North,2025-06,Clothing,95199,59134,1.6098860215781108,0.11098860215781109,10566.003936821458
NOR23001,North,2025-07,Sports,42823,81365,0.5263073803232348,0.02,856.46
NOR23001,North,2025-07,Beauty,98218,91299,1.0757839625844752,0.05757839625844752,5655.234923712198
NOR23001,North,2025-07,Clothing,119723,90418,1.3241058196376827,0.08241058196376827,9866.442104448228
NOR23001,North,2025-08,Sports,23144,67731,0.34170468470862675,0.02,462.88
